phase,T_celsius,T_K,elem_a,elem_b,omega_Jmol,z_bcc,lsq_xmin,lsq_xmax,lsq_npts
BCC_A2,650,923.15,CU,W,2.2708355903505945e-08,8,0.05,0.95,19
BCC_A2,650,923.15,FE,MN,1407.2531482229026,8,0.05,0.95,19
BCC_A2,650,923.15,FE,MO,739.3781027288543,8,0.05,0.95,19
BCC_A2,650,923.15,FE,NB,1031.2301826769506,8,0.05,0.95,19
BCC_A2,650,923.15,FE,NI,807.8689131766223,8,0.05,0.95,19
BCC_A2,650,923.15,FE,SI,-17025.07660960066,8,0.05,0.95,19
BCC_A2,650,923.15,FE,TI,-5705.69049274159,8,0.05,0.95,19
BCC_A2,650,923.15,FE,W,183.20599223416139,8,0.05,0.95,19
BCC_A2,650,923.15,MN,MO,1264.8907247050288,8,0.05,0.95,19
BCC_A2,650,923.15,MN,NB,14.953068230436442,8,0.05,0.95,19
BCC_A2,650,923.15,MN,NI,-379.125675480822,8,0.05,0.95,19
BCC_A2,650,923.15,MN,SI,-11187.075704493143,8,0.05,0.95,19
BCC_A2,650,923.15,MN,TI,-2884.9022945617658,8,0.05,0.95,19
BCC_A2,650,923.15,MN,W,14.953068232234333,8,0.05,0.95,19
BCC_A2,650,923.15,MO,NB,1.240522089849644e-08,8,0.05,0.95,19
BCC_A2,650,923.15,MO,NI,69.63266144536117,8,0.05,0.95,19
BCC_A2,650,923.15,MO,SI,-7499.6259390207715,8,0.05,0.95,19
BCC_A2,650,923.15,MO,TI,-582.3134759379277,8,0.05,0.95,19
BCC_A2,650,923.15,MO,W,249.98753129344138,8,0.05,0.95,19
BCC_A2,650,923.15,NB,NI,-2303.8097239569615,8,0.05,0.95,19
BCC_A2,650,923.15,NB,SI,-18624.33603276324,8,0.05,0.95,19
BCC_A2,650,923.15,NB,TI,1749.9127189535002,8,0.05,0.95,19
BCC_A2,650,923.15,NB,W,-4292.660893285258,8,0.05,0.95,19
BCC_A2,650,923.15,NI,SI,-25627.10891884958,8,0.05,0.95,19
BCC_A2,650,923.15,NI,TI,-12136.049085936664,8,0.05,0.95,19
BCC_A2,650,923.15,NI,W,0.6520811191396323,8,0.05,0.95,19
BCC_A2,650,923.15,SI,TI,-32959.75814337126,8,0.05,0.95,19
BCC_A2,650,923.15,SI,W,2.2898386458942955e-07,8,0.05,0.95,19
BCC_A2,650,923.15,TI,W,208.1653654346658,8,0.05,0.95,19
